text,label,source,original_label,url_present,email_present,phone_present,category,original_text,cleaned_text,client_id
once in  years offer  get extra  off   cashback above existing discounts use gift voucher leap  wwwlenskartcomleap optout sms lens to ,smishing,combined_labeled_dataset,smishing,0,0,0,reward_prize,once in  years offer  get extra  off   cashback above existing discounts use gift voucher leap  wwwlenskartcomleap optout sms lens to ,once in years offer get extra off cashback above existing discounts use gift voucher leap wwwlenskartcomleap optout sms lens to,client_1
Play the Risky Business game during RAG Americas Online to earn the title as the Global Risk,spam,super_sms_dataset,spam,0,0,0,general,Play the Risky Business game during RAG Americas Online to earn the title as the Global Risk,Play the Risky Business game during RAG Americas Online to earn the title as the Global Risk,client_1
WINNER! As a valued network customer you hvae been selected to receive a Ã¥Â£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,smishing,combined_labeled_dataset,smishing,0,0,1,reward_prize,WINNER! As a valued network customer you hvae been selected to receive a Ã¥Â£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,WINNER! As a valued network customer you hvae been selected to receive a Ã¥Â£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,client_1
blue club  find the perfect gift for ur loved ones at  flat  off in mens ladies  kids wear  offer for last  days only  vat extra tc apply sunday open,smishing,combined_labeled_dataset,smishing,0,0,0,reward_prize,blue club  find the perfect gift for ur loved ones at  flat  off in mens ladies  kids wear  offer for last  days only  vat extra tc apply sunday open,blue club find the perfect gift for ur loved ones at flat off in mens ladies kids wear offer for last days only vat extra tc apply sunday open,client_1
important information 4 orange user . today exist your lucky day!2find out why log onto http://www.urawinner.com there's a fantastic surprise look you!,smishing,mendeley_balanced_10191,smishing,1,0,0,reward_prize,important information 4 orange user . today exist your lucky day!2find out why log onto http://www.urawinner.com there's a fantastic surprise look you!,important information 4 orange user . today exist your lucky day!2find out why log onto http://www.urawinner.com there's a fantastic surprise look you!,client_1
Dear customer your INDUSIND Debit Card point worth Rs XXXX expire by 07/06/2018 Kindly convert your point in cash by click here http://indusoffer.com/,spam,super_sms_dataset,spam,1,0,0,general,Dear customer your INDUSIND Debit Card point worth Rs XXXX expire by 07/06/2018 Kindly convert your point in cash by click here http://indusoffer.com/,Dear customer your INDUSIND Debit Card point worth Rs XXXX expire by 07/06/2018 Kindly convert your point in cash by click here http://indusoffer.com/,client_1
numero uno presents seasons biggest sale now get up to  off on selected merchandise rush to our store now tnc apply,spam,super_sms_dataset,spam,0,0,0,general,numero uno presents seasons biggest sale now get up to  off on selected merchandise rush to our store now tnc apply,numero uno presents seasons biggest sale now get up to off on selected merchandise rush to our store now tnc apply,client_1
K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,ham,uci_sms_spam,ham,0,0,0,general,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,client_1
Cannot clash. Haha.,ham,super_sms_dataset,ham,0,0,0,general,Cannot clash. Haha.,Cannot clash. Haha.,client_1
we embody specialist in station people in bpos & hv al the major client.hiring 4 collection/cce/tse 4 top 10 bpos with good sal+inc.dayshift av.tanvi/9953921288,spam,mendeley_balanced_10191,spam,0,0,1,general,we embody specialist in station people in bpos & hv al the major client.hiring 4 collection/cce/tse 4 top 10 bpos with good sal+inc.dayshift av.tanvi/9953921288,we embody specialist in station people in bpos & hv al the major client.hiring 4 collection/cce/tse 4 top 10 bpos with good sal+inc.dayshift av.tanvi/9953921288,client_1
urgent! we are sample to contact u. todays draw usher that you cause won a £800 prize guaranteed. call 09050003092 from land line. claim c52. valid 12hrs only,smishing,mendeley_balanced_10191,smishing,0,0,1,reward_prize,urgent! we are sample to contact u. todays draw usher that you cause won a £800 prize guaranteed. call 09050003092 from land line. claim c52. valid 12hrs only,urgent! we are sample to contact u. todays draw usher that you cause won a £800 prize guaranteed. call 09050003092 from land line. claim c52. valid 12hrs only,client_1
Top 10 has been Updated! Its Saturday rock on MTN Radio! Dial 450031 at N15/min &party with awesome rock hits! Also call at just N5/Min btw 12am & 4.29am!                    ,spam,exais_sms_spam,SPAM,0,0,0,general,Top 10 has been Updated! Its Saturday rock on MTN Radio! Dial 450031 at N15/min &party with awesome rock hits! Also call at just N5/Min btw 12am & 4.29am!                    ,Top 10 has been Updated! Its Saturday rock on MTN Radio! Dial 450031 at N15/min &party with awesome rock hits! Also call at just N5/Min btw 12am & 4.29am!,client_1
"The people above me are banging on the floor wheni play my guitar...like, even softly. The did this last night and I figured it waslateish so whatever despite the fact that they were up screaming thenight before at the in the goddamned morning. But now it's fucking 2pm! What the fuck?!",ham,super_sms_dataset,ham,0,0,0,general,"The people above me are banging on the floor wheni play my guitar...like, even softly. The did this last night and I figured it waslateish so whatever despite the fact that they were up screaming thenight before at the in the goddamned morning. But now it's fucking 2pm! What the fuck?!","The people above me are banging on the floor wheni play my guitar...like, even softly. The did this last night and I figured it waslateish so whatever despite the fact that they were up screaming thenight before at the in the goddamned morning. But now it's fucking 2pm! What the fuck?!",client_1
Dear Customer your Airtel number service will be expire with in 24hrs more enquiry please call us customer care XXXXXXXXXX immediately Thank,spam,super_sms_dataset,spam,0,0,0,general,Dear Customer your Airtel number service will be expire with in 24hrs more enquiry please call us customer care XXXXXXXXXX immediately Thank,Dear Customer your Airtel number service will be expire with in 24hrs more enquiry please call us customer care XXXXXXXXXX immediately Thank,client_1
Wont be able to make it as I have lessons from  <#> am-2pm.,ham,super_sms_dataset,ham,0,0,0,general,Wont be able to make it as I have lessons from  <#> am-2pm.,Wont be able to make it as I have lessons from <#> am-2pm.,client_1
Going for lunch soon and then to the doc.,ham,super_sms_dataset,ham,0,0,0,general,Going for lunch soon and then to the doc.,Going for lunch soon and then to the doc.,client_1
Yup bathe liao...,ham,super_sms_dataset,ham,0,0,0,general,Yup bathe liao...,Yup bathe liao...,client_1
Cutest Teenstar! American popstar and actress Selena Gomez gets the most votes from Blyk members for being the cutest teenstar! Didn't get to express your opinion? Try again - which of these teen sensations do you think is the cutest? 1) Miley Cyrus 2) Justin Bieber 3) Selena Gomez ^1/2/3 All replies are free  so vote now to be a part of this Blyk-O-Poll! ,spam,super_sms_dataset,spam,0,0,0,general,Cutest Teenstar! American popstar and actress Selena Gomez gets the most votes from Blyk members for being the cutest teenstar! Didn't get to express your opinion? Try again - which of these teen sensations do you think is the cutest? 1) Miley Cyrus 2) Justin Bieber 3) Selena Gomez ^1/2/3 All replies are free  so vote now to be a part of this Blyk-O-Poll! ,Cutest Teenstar! American popstar and actress Selena Gomez gets the most votes from Blyk members for being the cutest teenstar! Didn't get to express your opinion? Try again - which of these teen sensations do you think is the cutest? 1) Miley Cyrus 2) Justin Bieber 3) Selena Gomez ^1/2/3 All replies are free so vote now to be a part of this Blyk-O-Poll!,client_1
You have successfully subscribed to BB Unlimited daily plan. Please restart your phone to get this service running. Visit www.onetouch.ng for more details.                    ,spam,exais_sms_spam,SPAM,1,0,0,general,You have successfully subscribed to BB Unlimited daily plan. Please restart your phone to get this service running. Visit www.onetouch.ng for more details.                    ,You have successfully subscribed to BB Unlimited daily plan. Please restart your phone to get this service running. Visit www.onetouch.ng for more details.,client_1
"Transfusion, huh? Come on dude",ham,super_sms_dataset,ham,0,0,0,general,"Transfusion, huh? Come on dude","Transfusion, huh? Come on dude",client_1
book a home by paying rs or avail our  scheme visit vijay estate vakas  neral from  aug sept  win assured prizes call  vijay group,smishing,combined_labeled_dataset,smishing,0,0,0,reward_prize,book a home by paying rs or avail our  scheme visit vijay estate vakas  neral from  aug sept  win assured prizes call  vijay group,book a home by paying rs or avail our scheme visit vijay estate vakas neral from aug sept win assured prizes call vijay group,client_1
Have a good trip. Watch out for . Remember when you get back we must decide about easter.,ham,uci_sms_spam,ham,0,0,0,general,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,Have a good trip. Watch out for . Remember when you get back we must decide about easter.,client_1
"records indicate you embody ask in an accident in the last 2.5 years. as such you embody entitled to exact compensation, reply claim for info or stop to opt out",smishing,mendeley_balanced_10191,smishing,0,0,0,reward_prize,"records indicate you embody ask in an accident in the last 2.5 years. as such you embody entitled to exact compensation, reply claim for info or stop to opt out","records indicate you embody ask in an accident in the last 2.5 years. as such you embody entitled to exact compensation, reply claim for info or stop to opt out",client_1
the fabulous makeup range from lifestyle stores is now at landmarkshopsin flat rs off on min online shopping of rs code promo httpgooglxstbo,spam,super_sms_dataset,spam,0,0,0,general,the fabulous makeup range from lifestyle stores is now at landmarkshopsin flat rs off on min online shopping of rs code promo httpgooglxstbo,the fabulous makeup range from lifestyle stores is now at landmarkshopsin flat rs off on min online shopping of rs code promo httpgooglxstbo,client_1
todays voda numbers stop 1225 are selected to find a £50award. if you ingest a match please call 08712300220 cite claim code 3100 standard rates app,smishing,mendeley_balanced_10191,smishing,0,0,1,reward_prize,todays voda numbers stop 1225 are selected to find a £50award. if you ingest a match please call 08712300220 cite claim code 3100 standard rates app,todays voda numbers stop 1225 are selected to find a £50award. if you ingest a match please call 08712300220 cite claim code 3100 standard rates app,client_1
Hi msg me:)i'm in office..,ham,uci_sms_spam,ham,0,0,0,general,Hi msg me:)i'm in office..,Hi msg me:)i'm in office..,client_1
Dear customer you are on the Monthly data plan.Your balance as at 2014-07-20 14:38 is 15 MB valid till 2014-07-26 00:00.Text HELP to 229 for                   ,ham,exais_sms_spam,HAM,0,0,1,general,Dear customer you are on the Monthly data plan.Your balance as at 2014-07-20 14:38 is 15 MB valid till 2014-07-26 00:00.Text HELP to 229 for                   ,Dear customer you are on the Monthly data plan.Your balance as at 2014-07-20 14:38 is 15 MB valid till 2014-07-26 00:00.Text HELP to 229 for,client_1
Watching tv now.,ham,mendeley_5971,ham,0,0,0,general,Watching tv now.,Watching tv now.,client_1
Lucky e honey i ate is low sugar content.. I hope u find it just nice.. :-),ham,super_sms_dataset,ham,0,0,0,general,Lucky e honey i ate is low sugar content.. I hope u find it just nice.. :-),Lucky e honey i ate is low sugar content.. I hope u find it just nice.. :-),client_1
Ok np man...research liao then pls narrow it down to those are moreapplicable for us....thanx a lot...,ham,super_sms_dataset,ham,0,0,0,general,Ok np man...research liao then pls narrow it down to those are moreapplicable for us....thanx a lot...,Ok np man...research liao then pls narrow it down to those are moreapplicable for us....thanx a lot...,client_1
O i played smash bros  <#>  religiously.,ham,super_sms_dataset,ham,0,0,0,general,O i played smash bros  <#>  religiously.,O i played smash bros <#> religiously.,client_1
Xyan dun want to watch leh. U want to go for dinner?,ham,super_sms_dataset,ham,0,0,0,general,Xyan dun want to watch leh. U want to go for dinner?,Xyan dun want to watch leh. U want to go for dinner?,client_1
"urgent. important information for 02 user. today live your lucky day! 2 find out why , log onto http://www.urawinner.com there embody a fantastic surprise await you !",smishing,mendeley_balanced_10191,smishing,1,0,0,reward_prize,"urgent. important information for 02 user. today live your lucky day! 2 find out why , log onto http://www.urawinner.com there embody a fantastic surprise await you !","urgent. important information for 02 user. today live your lucky day! 2 find out why , log onto http://www.urawinner.com there embody a fantastic surprise await you !",client_1
Pradhan Mantri Loan Yojna 4.75 rate of Interest All Types Loan 2 lakh to 5 Cr. 6 months no emi no Helpline -9560938998 ,spam,super_sms_dataset,spam,0,0,1,general,Pradhan Mantri Loan Yojna 4.75 rate of Interest All Types Loan 2 lakh to 5 Cr. 6 months no emi no Helpline -9560938998 ,Pradhan Mantri Loan Yojna 4.75 rate of Interest All Types Loan 2 lakh to 5 Cr. 6 months no emi no Helpline -9560938998,client_1
"win: we experience a winner! mr. t. foley won an ipod! more exciting prizes soon, so prevent an eye on ur mobile or visit www.win-82050.co.uk",smishing,mendeley_balanced_10191,smishing,1,0,0,reward_prize,"win: we experience a winner! mr. t. foley won an ipod! more exciting prizes soon, so prevent an eye on ur mobile or visit www.win-82050.co.uk","win: we experience a winner! mr. t. foley won an ipod! more exciting prizes soon, so prevent an eye on ur mobile or visit www.win-82050.co.uk",client_1
You must enrol your mobile device as part of ACME bank regulatory requirement Follow the instruction on http://acmebank.online/,spam,super_sms_dataset,spam,1,0,0,general,You must enrol your mobile device as part of ACME bank regulatory requirement Follow the instruction on http://acmebank.online/,You must enrol your mobile device as part of ACME bank regulatory requirement Follow the instruction on http://acmebank.online/,client_1
Sleeping nt feeling well,ham,uci_sms_spam,ham,0,0,0,general,Sleeping nt feeling well,Sleeping nt feeling well,client_1
"win: we ingest a winner! mr. t. foley won an ipod! more exciting prizes soon, so restrain an eye on ur mobile or visit www.win-82050.co.uk",smishing,mendeley_balanced_10191,smishing,1,0,0,reward_prize,"win: we ingest a winner! mr. t. foley won an ipod! more exciting prizes soon, so restrain an eye on ur mobile or visit www.win-82050.co.uk","win: we ingest a winner! mr. t. foley won an ipod! more exciting prizes soon, so restrain an eye on ur mobile or visit www.win-82050.co.uk",client_1
You were made in the image of God (Gensis 1:27) Note therefore that you have an UNLIMITED PERSON in you that is capable of UNLIMITED HEIGHTS. Odun Orioke                    ,ham,exais_sms_spam,HAM,0,0,0,general,You were made in the image of God (Gensis 1:27) Note therefore that you have an UNLIMITED PERSON in you that is capable of UNLIMITED HEIGHTS. Odun Orioke                    ,You were made in the image of God (Gensis 1:27) Note therefore that you have an UNLIMITED PERSON in you that is capable of UNLIMITED HEIGHTS. Odun Orioke,client_1
"ll b goin aust nxt wk... So sad, den i cant make it 4 ur party liao...",ham,super_sms_dataset,ham,0,0,0,general,"ll b goin aust nxt wk... So sad, den i cant make it 4 ur party liao...","ll b goin aust nxt wk... So sad, den i cant make it 4 ur party liao...",client_1
Having lunch:)you are not in online?why?,ham,uci_sms_spam,ham,0,0,0,general,Having lunch:)you are not in online?why?,Having lunch:)you are not in online?why?,client_1
"thanks for your ringtone order, reference number x49. your mobile will be lodge 4.50. should your tone not arrive please call customer services 09065989182. from: [colour=red]text[/colour]txtstar",spam,mendeley_balanced_10191,spam,0,0,1,general,"thanks for your ringtone order, reference number x49. your mobile will be lodge 4.50. should your tone not arrive please call customer services 09065989182. from: [colour=red]text[/colour]txtstar","thanks for your ringtone order, reference number x49. your mobile will be lodge 4.50. should your tone not arrive please call customer services 09065989182. from: [colour=red]text[/colour]txtstar",client_1
Oi when you gonna ring,ham,uci_sms_spam,ham,0,0,0,general,Oi when you gonna ring,Oi when you gonna ring,client_1
hey wad time is everyone coming?,ham,super_sms_dataset,ham,0,0,0,general,hey wad time is everyone coming?,hey wad time is everyone coming?,client_1
 padathin dialer toneku call  free win ac  call  free mobile phone    rs only  call   pmin,spam,super_sms_dataset,spam,0,0,0,general, padathin dialer toneku call  free win ac  call  free mobile phone    rs only  call   pmin,padathin dialer toneku call free win ac call free mobile phone rs only call pmin,client_1
Aww so poor thing the whole of Lorong 7 doesn't have Wireless@SG,ham,super_sms_dataset,ham,0,0,0,general,Aww so poor thing the whole of Lorong 7 doesn't have Wireless@SG,Aww so poor thing the whole of Lorong 7 doesn't have Wireless@SG,client_1
"""Become a mystery shopper today! Pay $20 for our exclusive list of assignments. Reply APPLY to begin.""",spam,super_sms_dataset,spam,0,0,0,general,"""Become a mystery shopper today! Pay $20 for our exclusive list of assignments. Reply APPLY to begin.""","""Become a mystery shopper today! Pay $20 for our exclusive list of assignments. Reply APPLY to begin.""",client_1
please call our customer service representative on 0800 169 6032 between 10am-9pm as you ingest won a guaranteed £2000 cash or £6000 prize!,smishing,mendeley_balanced_10191,smishing,0,0,1,reward_prize,please call our customer service representative on 0800 169 6032 between 10am-9pm as you ingest won a guaranteed £2000 cash or £6000 prize!,please call our customer service representative on 0800 169 6032 between 10am-9pm as you ingest won a guaranteed £2000 cash or £6000 prize!,client_1
dear all trader today offer offer offer you join our yearly   half yearly and quarterly packages  get    flat off offer valid till today  pm hurry to join services  wwwsaiproficientcom    ,spam,super_sms_dataset,spam,0,0,0,general,dear all trader today offer offer offer you join our yearly   half yearly and quarterly packages  get    flat off offer valid till today  pm hurry to join services  wwwsaiproficientcom    ,dear all trader today offer offer offer you join our yearly half yearly and quarterly packages get flat off offer valid till today pm hurry to join services wwwsaiproficientcom,client_1
We have N200 Airtime for use today. Call 14120 for FREE to get yours Now                    ,spam,exais_sms_spam,SPAM,0,0,0,general,We have N200 Airtime for use today. Call 14120 for FREE to get yours Now                    ,We have N200 Airtime for use today. Call 14120 for FREE to get yours Now,client_1
Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000003822877¿USSDAvail Bal: NGN95 615.11                   ,ham,exais_sms_spam,HAM,0,0,1,general,Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000003822877¿USSDAvail Bal: NGN95 615.11                   ,Acct: ******1736Amt: NGN100.00 DrDesc: Airtime Purchase-USSD-101CT0000000000003822877¿USSDAvail Bal: NGN95 615.11,client_1
Yes de.. It seems dey r coming next mnth...,ham,super_sms_dataset,ham,0,0,0,general,Yes de.. It seems dey r coming next mnth...,Yes de.. It seems dey r coming next mnth...,client_1
a £400 xmas reward is look for you! our computer has randomly peck you from our loyal mobile customers to receive a £400 reward. just call 09066380611,smishing,mendeley_balanced_10191,smishing,0,0,1,reward_prize,a £400 xmas reward is look for you! our computer has randomly peck you from our loyal mobile customers to receive a £400 reward. just call 09066380611,a £400 xmas reward is look for you! our computer has randomly peck you from our loyal mobile customers to receive a £400 reward. just call 09066380611,client_1
Should be.. lets fix a time. 5pm?,ham,super_sms_dataset,ham,0,0,0,general,Should be.. lets fix a time. 5pm?,Should be.. lets fix a time. 5pm?,client_1
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",smishing,mendeley_balanced_10191,smishing,0,0,1,reward_prize,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS","U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",client_1
7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,ham,uci_sms_spam,ham,0,0,0,general,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,7 at esplanade.. Do ü mind giving me a lift cos i got no car today..,client_1
2/2 146tf150p�win tickets..call 08701417012,spam,mendeley_balanced_10191,spam,0,0,1,general,2/2 146tf150p�win tickets..call 08701417012,2/2 146tf150p�win tickets..call 08701417012,client_1
Your OCBC account transaction have be suspend please update it on December XX otherwise the account will be lock Please access bit.ly/,spam,super_sms_dataset,spam,1,0,0,general,Your OCBC account transaction have be suspend please update it on December XX otherwise the account will be lock Please access bit.ly/,Your OCBC account transaction have be suspend please update it on December XX otherwise the account will be lock Please access bit.ly/,client_1
"congratulations, your entry into our contest last month ready you a winner! goto http://www.apple.com.text.won.com�to arrogate your prize! you have 24 hours to claim",smishing,mendeley_balanced_10191,smishing,1,0,0,reward_prize,"congratulations, your entry into our contest last month ready you a winner! goto http://www.apple.com.text.won.com�to arrogate your prize! you have 24 hours to claim","congratulations, your entry into our contest last month ready you a winner! goto http://www.apple.com.text.won.com�to arrogate your prize! you have 24 hours to claim",client_1
Dear Customer Congratulations You have win e Gift voucher worth Rs.200 from HDFC Bank Activa tion Campaign for Mar'19 Give a msd call on +918880962211 for Amazon e Gift voucher s or on +919513669695 for HP Fuel e Gift voucher s or on +919513674010 for Book My Show voucher s from your register Mobile Number within 8th Nov'19 T C,smishing,combined_labeled_dataset,smishing,0,0,1,reward_prize,Dear Customer Congratulations You have win e Gift voucher worth Rs.200 from HDFC Bank Activa tion Campaign for Mar'19 Give a msd call on +918880962211 for Amazon e Gift voucher s or on +919513669695 for HP Fuel e Gift voucher s or on +919513674010 for Book My Show voucher s from your register Mobile Number within 8th Nov'19 T C,Dear Customer Congratulations You have win e Gift voucher worth Rs.200 from HDFC Bank Activa tion Campaign for Mar'19 Give a msd call on +918880962211 for Amazon e Gift voucher s or on +919513669695 for HP Fuel e Gift voucher s or on +919513674010 for Book My Show voucher s from your register Mobile Number within 8th Nov'19 T C,client_1
Hey u received TT email? Tues cant go le. U wan thurs go?,ham,super_sms_dataset,ham,0,0,0,general,Hey u received TT email? Tues cant go le. U wan thurs go?,Hey u received TT email? Tues cant go le. U wan thurs go?,client_1
I sent you  6000;  bucks,ham,mendeley_5971,ham,0,0,0,general,I sent you  6000;  bucks,I sent you 6000; bucks,client_1
What do you do in a situation  react or respond. If you react you are a coward and if you respond you are fearless.                   ,spam,exais_sms_spam,SPAM,0,0,0,general,What do you do in a situation  react or respond. If you react you are a coward and if you respond you are fearless.                   ,What do you do in a situation react or respond. If you react you are a coward and if you respond you are fearless.,client_1
Can we skype on Sunday ?,ham,super_sms_dataset,ham,0,0,0,general,Can we skype on Sunday ?,Can we skype on Sunday ?,client_1
As in i want custom officer discount oh.,ham,uci_sms_spam,ham,0,0,0,general,As in i want custom officer discount oh.,As in i want custom officer discount oh.,client_1
"Awesome, I'll see you in a bit",ham,uci_sms_spam,ham,0,0,0,general,"Awesome, I'll see you in a bit","Awesome, I'll see you in a bit",client_1
dear customer  big online winter carnival brings additional rs  off on leading brands such as louis philippe  allen solly with hdfc bank netbanking visit wwwtrendincom use code hdaw before th feb offer valid on minimum purchase of rs  tc,spam,super_sms_dataset,spam,0,0,0,general,dear customer  big online winter carnival brings additional rs  off on leading brands such as louis philippe  allen solly with hdfc bank netbanking visit wwwtrendincom use code hdaw before th feb offer valid on minimum purchase of rs  tc,dear customer big online winter carnival brings additional rs off on leading brands such as louis philippe allen solly with hdfc bank netbanking visit wwwtrendincom use code hdaw before th feb offer valid on minimum purchase of rs tc,client_1
Rly? As in the 3 odac teams?,ham,super_sms_dataset,ham,0,0,0,general,Rly? As in the 3 odac teams?,Rly? As in the 3 odac teams?,client_1
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,smishing,mendeley_balanced_10191,smishing,0,0,1,reward_prize,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,client_1
Congratulations - in this week's competition draw u have won the �1450 prize to claim just call 09050002312 . T&Cs/stop SMS 08718727868.,smishing,mendeley_balanced_10191,smishing,0,0,1,reward_prize,Congratulations - in this week's competition draw u have won the �1450 prize to claim just call 09050002312 . T&Cs/stop SMS 08718727868.,Congratulations - in this week's competition draw u have won the �1450 prize to claim just call 09050002312 . T&Cs/stop SMS 08718727868.,client_1
we tried to adjoin you re your reply to our offer of a video phone 750 anytime any network mins half price line rental camcorder reply or call 08000930705,spam,mendeley_balanced_10191,spam,0,0,1,general,we tried to adjoin you re your reply to our offer of a video phone 750 anytime any network mins half price line rental camcorder reply or call 08000930705,we tried to adjoin you re your reply to our offer of a video phone 750 anytime any network mins half price line rental camcorder reply or call 08000930705,client_1
I have been trying to reach you but your number is not going through. It's urgent. Please contact me at ben@chefaropharma.com,spam,super_sms_dataset,spam,0,1,0,general,I have been trying to reach you but your number is not going through. It's urgent. Please contact me at ben@chefaropharma.com,I have been trying to reach you but your number is not going through. It's urgent. Please contact me at ben@chefaropharma.com,client_1
"Congratulations! You have received Rs. 12,000 Aid. Contact 03494066072.",smishing,combined_labeled_dataset,smishing,0,0,1,reward_prize,"Congratulations! You have received Rs. 12,000 Aid. Contact 03494066072.","Congratulations! You have received Rs. 12,000 Aid. Contact 03494066072.",client_1
Woot wat rice lol... see lo then we need to go earlier to buy! Afterwe buy ba Wang on the way back I go buy? I din even do haha..,ham,super_sms_dataset,ham,0,0,0,general,Woot wat rice lol... see lo then we need to go earlier to buy! Afterwe buy ba Wang on the way back I go buy? I din even do haha..,Woot wat rice lol... see lo then we need to go earlier to buy! Afterwe buy ba Wang on the way back I go buy? I din even do haha..,client_1
K see you in a bit,ham,super_sms_dataset,ham,0,0,0,general,K see you in a bit,K see you in a bit,client_1
"Yeah why not, is the gang all ready",ham,uci_sms_spam,ham,0,0,0,general,"Yeah why not, is the gang all ready","Yeah why not, is the gang all ready",client_1
sumptuous meals at pocket friendly rates shoot onto wwwhotboxcoin  get  off on online orders   cashback on online payments onlinefood banaglore,spam,super_sms_dataset,spam,0,0,0,general,sumptuous meals at pocket friendly rates shoot onto wwwhotboxcoin  get  off on online orders   cashback on online payments onlinefood banaglore,sumptuous meals at pocket friendly rates shoot onto wwwhotboxcoin get off on online orders cashback on online payments onlinefood banaglore,client_1
